Plass.,Spiller-Id,Navn,Klasse,Poeng
1,103497,"Jonas Østhassel, Kristiansand",E,1528
2,101103,"Fredrik Kristensen, Moss",E,1520
3,105825,"Mathias Ji Hong, Haugerud",E,924
4,102642,"Torjus Flåtten, Sandefjord",E,748
5,100729,"Jørgen Rosenlund, Moss",E,692
6,107744,"Andreas Andersen Roksvåg, Kristiansand",A,476
7,107653,"Boyan Yu, NTNUI",A,416
8,102905,"Carl Christian Mork, Haugerud",A,388
9,108668,"Christer Andersen, Mandal",A,384
10,105721,"Bharath Kumar Balasingam, Bergen",A,352
11,100010,"Jim Ronny Andersen, Kristiansand",A,334
12,107133,"Sander Østhassel, Kristiansand",A,326
13,102932,"Mads Marum, Kristiansand",A,324
13,102819,"Carl Christian Møller Jacobsen, Sandefjord",A,324
15,102611,"Vegard Rikheim, Frogner",A,317
16,107547,"Petter Tryland Laheld, NTNUI",A,294
16,100677,"Robert Sulebakk, Ålesund",A,294
18,107065,"Elias Ausen, Moss",A,288
19,105802,"Jiawen Shi, Bærum",A,270
19,108642,"Andy Hang, Klemetsrud",A,270
21,107131,"Mattias Mørk, Kristiansand",A,248
22,100310,"Fredrik Lian, Norborg",A,246
23,107635,"Martin Enghaug, Moss",A,244
24,109688,"Aleksander Jakovlevs, Haugerud",A,227
25,107603,"Herman Ruud, Kristiansand",A,222
26,100746,"Nils Even Urkedal, Norborg",A,216
27,106633,"Haakon Lærkerød Jelsness, Moss",A,208
28,108630,"Hermod Holte Haugland , Kristiansand",A,206
29,111907,"Gonçalo Ribeiro, Norborg",A,200
30,114337,"Sahil Wadhawan, OSI",A,196
31,102378,"Øyvind W. Selboe, Trondheim",A,194
32,104247,"Anders Haugland, NTNUI",A,188
33,106065,"Ram Kumar, Haugerud",A,186
33,109437,"Jonatan Broch Granum, Kristiansand",A,186
35,105509,"Keveen Kumar Balasingam, Sotra",A,184
36,100996,"Arben Holstad, Vestre Aker",A,172
37,109876,"Kristoffer Kielland Rædergård	, Trondheim",A,170
37,113813,"Oliver George Creese, Trondheim",A,170
39,102612,"Mattias Xu, Frogner",A,169
40,109570,"Varun Manikandan, IL Skrim",A,164
41,102646,"Tobias Krømke, Sandefjord",A,163
42,106807,"Trygve Ellingsen, Bærum",A,162
43,104510,"Markus Barth, Bergen",A,161
44,113008,"Kenneth Bayeng Sanglay, OSI",A,160
45,107916,"Benjamin Rølvåg, Nesna",A,158
46,104852,"Isak L. Hasselvold, Grong",A,156
47,101091,"Lars Valentin, Ålesund",A,154
47,106465,"John Nguyen, OSI",A,154
49,107132,"Filip Bøhn , Kristiansand",A,152
50,110309,"Vishwavasu Soorly Nagaraj, Vestre Aker",B,144
50,103539,"Amund Rikheim Huus, Frogner",B,144
52,100773,"Karl Ødegård, Bergen",B,143
53,100189,"Sigve Hallager, Grong",B,142
54,106464,"Theodor Fjelldal, Haugerud",B,132
55,100194,"Bjørn Hamang, Bærum",B,130
55,109418,"Robert Barø, Trondheim",B,130
57,100411,"Magnus Christensen, Frogner",B,128
58,109193,"Magnus Tjøm, Moss",B,127
59,101914,"Thomas Pedersen, Ålesund",B,126
60,109774,"Stian Ekroll Glenne, Stavanger",B,120
61,110635,"Aslak Smith, Kristiansand",B,114
62,106301,"Roar Natvig, Verdal",B,113
63,106453,"Christian Asbjørnsen, Ålesund",B,112
64,114007,"Toby Clifford, NTNUI",B,111
65,114970,"Avinash Avi, OSI",B,108
66,109659,"Sebastian Reijnen, Kristiansand",B,106
66,101033,"Knut Morten Engen, Frogner",B,106
68,108334,"Mikkel Grevsnes, Oppegård IL",B,104
68,107795,"Thomas Grüner Fjeldheim, Haugerud",B,104
68,102161,"Tommy Helander, Askim",B,104
68,108764,"Marius Sandvær, Herøy",B,104
72,108999,"Andreas Nordhøy, Grong",B,102
72,108078,"Ole Petter Øren, Gullvikmoen",B,102
74,107607,"Tristan Thøgersen, Oppegård IL",B,97
75,111286,"Joakim Øyen Bedsted, Orkanger",B,95
76,104413,"Wenyue Yu, OSI",B,94
76,104036,"Morten Straume, Sotra",B,94
78,102168,"Sondre Løvold, Klæbu",B,92
79,114489,"Leonard Meyer Nordnes, NTNUI",B,89
80,104467,"Ørjan Emil Strand, NTNUI",B,88
80,101270,"Jonas Christensen, Frogner",B,88
80,110205,"Mathias Wong, Kristiansand",B,88
83,109780,"William R. Barø, Trondheim",B,82
83,106033,"Arild Moen, Bærum",B,82
83,105066,"Iver Rolvsjord, NTNUI",B,82
86,106155,"Andreas Holmedal, Askøy",B,80
86,107800,"Yahya Januarilham, Stavanger",B,80
86,101992,"Sturla Flåten Jørgensen, Haugerud",B,80
89,103987,"Jørgen Olsen, Verdal",B,78
89,100016,"Stian Askerød, Frogner",B,78
91,100143,"Noralf Gamlem, Norborg",B,77
92,113986,"Wesley Man-Ho Cheung, OSI",B,75
93,108737,"Manas Dubey, Stavanger",B,74
94,110883,"Yuelong Zang, Bærum",B,73
95,107804,"Anders Bellesen, Sola",B,72
95,103109,"Rolf Ove Karlsen, Verdal",B,72
97,115153,"Andreas Deinboll, Bergen",B,71
98,114384,"Jacek Artur Skrocki, Frøya",B,70
98,102521,"Joel Collard, Vestre Aker",B,70
100,103542,"Trond Mære, Verdal",B,68
101,110217,"Torfinn Nesset, Imås IL",B,66
102,104411,"Jonas J Grande, Rissa",B,65
103,104903,"Ke Xie, Vestre Aker",B,63
104,107859,"Magnus Knapperholen, OSI",B,62
104,107544,"Eskil Styve, Ålesund",B,62
104,113225,"Johnny Andersen, Klæbu",B,62
107,105674,"Sander Bunes Kristensen, Moss",B,61
108,115697,"Glen Oumellal, NTNUI",B,60
108,107705,"Advait Mital, Bærum",B,60
108,107691,"Jonathan Utne Madsøy, Karmøy",B,60
111,102261,"Petter Karlsen Wåltorp, Bergen",B,58
111,112608,"Devendra Rameshwarsingh, Stovner",B,58
113,111148,"Heine Lam Nybakk, Sotra",B,56
113,101895,"Erik Måøy, Kolvereid",B,56
115,100664,"Geir Storvik, Bærum",B,55
116,110543,"Thineskumar Logeswaran, Stovner",B,54
116,100243,"Christian Hervard, Bærum",B,54
116,114204,"Muhammad Abdur Rehman, Stovner",B,54
119,107624,"Eirik Tresselt Støylen, Ålesund",B,53
120,104286,"Ludvig Smith-Meyer, Sandefjord",B,52
121,100534,"Robin Kruksve Krux, Rissa",B,51
122,100038,"Ole Christoffer Olsen, Flatås",B,50
122,111692,"Peter Schuster, Djerv",B,50
124,105597,"Kristian Møkkelgård, Orkanger",C,49
124,115882,"Martin Feussner, Djerv",C,49
126,106876,"Kristoffer Brandsås Berg, NTNUI",C,48
126,100322,"Arnt-Helge Karlsen, Stavanger",C,48
128,112885,"Johnny Lam, OSI",C,47
129,112635,"Elias Grønning, Rissa",C,46
129,104579,"Fredrik Skånøy, Rissa",C,46
129,100139,"Per Ivar Furholm, Norborg",C,46
132,105227,"Daniel Bjørklund, Bærum",C,44
132,105065,"Dennis Andersen Moe, Sotra",C,44
132,112103,"Arun Kumar Sharma, Djerv",C,44
132,112212,"Andreas Stenhaug, NTNUI",C,44
136,112525,"Lars Petter Danielsen, Gullvikmoen",C,42
136,115956,"Per Stener Vestli, Oppegård IL",C,42
138,115053,"Hari Shankar Chembeti, Trondheim",C,41
139,113060,"Ken Kold Hansen, Trondheim",C,40
139,105120,"Vincentius Rumawas, Asker",C,40
139,102709,"Arild Mevatne, Bergen",C,40
142,100611,"Amund Skavhaug, Trondheim",C,39
142,112198,"Mads B. Rotabakk, Orkanger",C,39
142,115103,"Martin Mogensen, Klæbu",C,39
142,106241,"Sondre Sefland, OSI",C,39
146,110176,"Sondre Lie Foldnes, Sotra",C,38
146,109569,"Sander Johansen, Nesna",C,38
146,107652,"Xijiang Yu, Vestre Aker",C,38
146,107396,"Fred Moen, Kolvereid",C,38
146,101976,"Edvin Marthinussen, Norborg",C,38
151,111402,"Henrik Frende Lavik-Haug, Moss",C,37
152,111053,"Edvin Nordbø, Askøy",C,36
152,113637,"John Thomas Krogstad, Verdal",C,36
152,109614,"Brynjar Hus, Bergen",C,36
152,108650,"Adrian Olsen-Loe Pedersen, Tromsø",C,36
152,109052,"Ivan Sundt, Karmøy",C,36
152,107260,"Sturla Mørk, Kristiansand",C,36
158,113276,"Per Arne Hammer, Frøya",C,35
159,110340,"Kristoffer Sveen Hjertholm, Karmøy",C,34
159,100476,"Jan Frode Neverdal, Grimstad",C,34
159,105639,"Fredrik Engh, Grimstad",C,34
159,102681,"Morten Solberg, Grong",C,34
163,104256,"Simen Eggøy Olson, Tromsø",C,33
163,114649,"Lars Christian Larsen, Frøya",C,33
165,105240,"Ådne Strøm, Kolvereid",C,32
166,113579,"Rajprakash Sivaraj, Djerv",C,31
166,113518,"Najeeb ahmad Qazi, Stovner",C,31
166,108025,"Robert  Karlsen, Rissa",C,31
169,110468,"Adrian Janitz, Moss",C,30
169,115928,"Sanford Chin, Bygdø",C,30
171,113119,"Titto Idicula, Trondheim",C,29
172,101073,"David Wong, Haugerud",C,28
172,100661,"Tor Stenvaag, Ålesund",C,28
